noteId,tweetId,writer,n_words,n_urls,flesch_kincaid_grade,vader_compound
1984633896403607556,1959655760285081935,bot,31,2,9.7,0.4404
1984635159509909745,1984237794160672936,bot,30,2,7.2,0.0
1985012997744468363,1984746554238881990,bot,37,2,8.1,-0.8176
1985013329576816961,1984532450492416482,bot,33,2,12.1,0.5574
1985013627313692757,1984707306786079171,bot,26,2,10.7,-0.5859
1985013848257044705,1984697346329137572,bot,31,1,14.2,0.4918
1985014173525229876,1984676390608818260,bot,35,2,10.1,-0.2846
1985014508662755568,1984773615192023523,bot,36,1,12.7,0.0
1985016560444985531,1984713573864509593,bot,38,2,8.3,-0.8126
1985018126296117755,1984373158036832660,bot,36,2,8.0,0.0
1985366516104135066,1985123505973690849,bot,41,2,9.8,-0.0258
1985366988168876269,1984959886766285177,bot,40,2,10.8,-0.7003
1985385242547437696,1984281159346622889,bot,33,1,18.5,0.0
1985386064878489650,1984670182699053135,bot,32,1,13.0,-0.9169
1985387102729560366,1984845909361050008,bot,22,1,7.2,-0.3089
1985425775865090186,1985340076226924556,bot,27,2,14.5,0.0
1985426291189764551,1985364652977447298,bot,28,2,11.1,0.0
1985769771376255331,1985641890725671008,bot,25,1,-0.3,-0.0736
1985777754957111540,1985368837748093402,bot,21,2,17.4,0.0
1985780072247087182,1985591055773814851,bot,31,1,17.7,0.09
1985780923770564652,1985710526404661752,bot,29,1,17.0,0.8059
1985854111900635272,1985716345107829064,bot,33,1,17.3,0.0
1986119055141408795,1985951737488777377,bot,32,2,8.4,0.7579
1986119392325697807,1985786856798134747,bot,33,2,6.0,0.6249
1986119712690905273,1985909974585766284,bot,39,2,10.7,-0.7873
1986120127012610211,1985733488717545540,bot,36,2,8.0,0.4939
1986120541787275344,1985783259327054239,bot,36,2,8.5,-0.1119
1986120930238566911,1985888858773615020,bot,28,1,11.1,0.0
1986121385211498795,1985864395021566334,bot,34,2,6.6,-0.5574
1986121783292932316,1985852952859345235,bot,40,2,9.9,-0.5994
1986539312108728694,1986362046469099945,bot,30,2,17.4,-0.4019
1986539941615084005,1986397520902430817,bot,31,2,9.3,-0.6486
1986573922414834020,1986403982613590206,bot,43,2,6.3,0.5227
1986574936152936519,1986492803481018803,bot,34,2,7.8,-0.1516
1986579051910144411,1986168991157489993,bot,27,2,4.4,-0.5574
1986580160674500720,1986508952662909168,bot,36,2,5.6,0.0
1986580491315618114,1986476714466111837,bot,34,2,7.7,-0.0516
1986581296055775497,1986088757305712685,bot,30,2,8.4,0.0
1986813890701701278,1986132385511989502,bot,38,2,8.2,0.4822
1986814421054689406,1986525526568120783,bot,33,2,8.8,-0.296
1986814762332610587,1985815642981712378,bot,37,2,5.7,0.1154
1986815304547094894,1986665360171446321,bot,36,2,8.0,0.6124
1986815689668055290,1986475655262052378,bot,40,2,7.6,-0.7906
1987324883030655467,1987119426634694706,bot,40,2,7.6,0.8176
1987325300292587692,1987021510452928880,bot,42,2,6.4,-0.6808
1987325984454885799,1987164565398749587,bot,38,2,9.4,0.1154
1987327367996424675,1987187995779182760,bot,35,2,4.8,0.4215
1987329736712790416,1986978781605601414,bot,37,2,9.3,-0.5267
1987333134036164841,1986074403268886988,bot,36,2,8.0,-0.7906
1987336270926709108,1987174337011650727,bot,36,2,10.3,-0.128
1987337221855121534,1987010603714597082,bot,43,2,6.5,-0.2411
1987337634234896594,1986998192739946660,bot,36,2,8.0,-0.296
1987338339012198490,1987233663281697247,bot,39,2,6.0,-0.34
1987338625961324739,1987238217096052827,bot,37,2,10.4,0.4767
1987550497465631055,1987504087340847601,bot,35,2,6.6,-0.3818
1987550613186453755,1987006290837839979,bot,32,2,9.5,-0.296
1987551234694287864,1987183437233758369,bot,31,2,6.1,-0.5106
1987662965839999290,1987576250790027467,bot,34,2,8.7,-0.0516
1987663559312978136,1987276862234456334,bot,28,2,8.1,-0.3182
1987663884728058129,1987212260993806801,bot,38,2,10.7,-0.1491
1987664208826130513,1987536370118627796,bot,38,2,7.1,0.0
1987664653829234848,1987568818772717709,bot,36,2,6.8,-0.6705
1987966120934904219,1987943138497843571,bot,34,2,13.6,-0.5267
1987966268415049824,1987569453299912882,bot,29,2,10.1,-0.6705
1987967801814852089,1987881598050566394,bot,35,2,6.7,0.0
1987968253285577141,1987928829357347143,bot,44,2,7.8,-0.8807
1987970606487286035,1987777364202586141,bot,36,2,11.5,0.4601
1987970798993154553,1987647365059117379,bot,30,1,4.8,-0.1531
1987971952892411997,1987675879049486560,bot,27,1,3.3,-0.1531
1988279439642206496,1988041452493172783,bot,31,2,6.1,0.4215
1988281557371461758,1987910682315042955,bot,44,2,7.8,0.0
1988282872382251164,1988251246977843283,bot,39,2,6.0,-0.7063
1988285994773225625,1987945233553002778,bot,43,2,7.7,-0.886
1988286623977497057,1988087290233844059,bot,43,2,4.1,0.0
1988287024101544236,1987932761030631837,bot,29,2,7.8,-0.6124
1988384045567226150,1988320617352098207,bot,36,2,5.6,0.8127
1988423848950198544,1988343017326223647,bot,40,2,8.7,-0.2732
1988425038886740153,1988343457052848205,bot,24,2,5.6,-0.296
1988425723703386435,1988223180956193063,bot,37,2,11.7,-0.296
1988630948296986751,1988352075206398319,bot,33,2,6.4,-0.4497
1988634803449545042,1988332213717319864,bot,41,2,8.5,0.4986
1988635269772247228,1988239357992726978,bot,38,2,7.1,-0.8779
1988638965956596118,1988272634723754106,bot,30,2,8.4,-0.0941
1988647822443377074,1988452838834385214,bot,34,2,14.6,0.1027
1988648259951235302,1988346364644757766,bot,35,2,11.4,-0.4215
1988649392958533847,1988475040921276749,bot,32,2,7.5,0.4767
1988649893053730938,1988281816642712028,bot,45,2,6.8,-0.5106
1988650166216237086,1988514720005972197,bot,40,2,4.9,-0.4019
1988716121613046062,1988420315656131070,bot,31,1,2.8,0.0
1989007283087421793,1988796762069631123,bot,31,2,9.7,-0.5499
1989008306837336502,1988752770497761532,bot,43,2,7.7,-0.8658
1989010219397972190,1988373799159656635,bot,34,2,6.6,0.678
1989064405724569807,1988483394825842983,bot,32,2,9.8,-0.296
1989065036766015938,1989033636155236742,bot,33,2,10.9,-0.9093
1989065710266433809,1988957905295655337,bot,33,2,5.2,0.3773
1989069280822837414,1988727649364267348,bot,36,2,11.5,0.5932
1989087365462110528,1989028802589323325,bot,33,2,7.7,0.4215
1989089616008196243,1989016768937955466,bot,32,2,13.1,0.3612
1989089998499422682,1988939159357235418,bot,39,2,5.9,-0.6486
1989090031122657408,1988977921088974905,bot,26,2,8.4,0.4215
1989094034476872103,1988938432878354509,bot,32,2,13.1,-0.3818
1989095971389587846,1988921829709193655,bot,32,2,6.0,0.0
1989097414288883738,1989009112097566866,bot,39,2,11.9,0.0
1989340211541610754,1989321989320798640,bot,39,2,8.4,-0.379
1989342867630825751,1989100069275177286,bot,31,2,7.3,-0.5106
1989413338233626656,1989401918863810774,bot,38,1,7.2,-0.1027
1989416595949551910,1989271391175319873,bot,34,2,11.1,-0.4588
1989443920531464456,1988938435504353484,bot,36,2,8.0,-0.8689
1989444230486298862,1989390636198633936,bot,37,2,8.1,-0.8307
1989445537142075716,1989345763135213971,bot,39,2,7.2,0.0
1989734451463528574,1983458760589996235,bot,42,2,8.8,-0.128
1989736738428727302,1989437140418130098,bot,39,2,9.7,-0.0717
1989742796836626607,1989100233926844497,bot,33,2,3.0,-0.5574
1989743440851075097,1989389266259251578,bot,38,2,7.1,0.0258
1989744003328147796,1989440177090302084,bot,36,2,11.5,0.5423
1989745012184154346,1989448515165327634,bot,31,1,10.8,-0.856
1989745359732559873,1989530910841295234,bot,33,2,9.7,-0.3818
1990081821594263896,1989823475331002522,bot,40,1,14.6,0.2263
1990082348411408700,1989917965094203891,bot,35,2,11.4,-0.7906
1990083545516081561,1989860562096791747,bot,30,1,6.0,-0.0772
1990086789889978489,1989752770950295932,bot,33,1,8.2,-0.4497
1990087049517346969,1989872296555938082,bot,36,1,10.1,-0.296
1990087557284040848,1989824419636949320,bot,32,2,20.1,0.3071
1990088645433237722,1989758080314478727,bot,41,1,11.0,-0.1027
1990508068585480361,1990426869187916076,bot,31,1,6.1,-0.4449
1990508378917888328,1990453926013907014,bot,36,1,11.3,-0.4019
1990508547344404670,1990376938238791687,bot,33,1,10.9,0.2382
1990509944588652677,1990329057771442478,bot,32,1,5.8,-0.4019
1990510221672714429,1990460064331935997,bot,35,1,9.0,-0.6597
1990511069668725120,1990466852628123699,bot,32,1,4.0,-0.4767
1990511316453183906,1990261462741475337,bot,39,2,10.9,-0.526
1990824844754112611,1990494395813277897,bot,33,2,10.9,-0.1027
1990827186383691934,1990662605590130751,bot,39,1,20.9,-0.2263
1990852121315414369,1990799837336367288,bot,42,1,11.3,0.3291
1990878558105801054,1990668980126953633,bot,32,1,6.0,-0.4019
1990885817691091116,1990822359750881314,bot,35,2,5.5,0.2911
1990889991644352705,1990615296923873740,bot,21,1,14.6,0.0
1990917942251245878,1990859308473462806,bot,29,2,14.2,-0.2144
1990917996735246354,1990884400767127949,bot,38,1,8.1,-0.0377
1991213736984469882,1991134891291930660,bot,31,1,9.1,-0.836
1991214939894087922,1991129617017540729,bot,35,1,7.6,-0.8779
1991215307977818350,1991129820344775099,bot,36,1,8.0,-0.4497
1991279797230620723,1990429231206019224,bot,29,2,6.0,0.7543
1991281402617217054,1991123357987680702,bot,41,1,12.3,-0.5583
1991638803706999028,1991467365276528959,bot,31,1,17.7,-0.8402
1991640166679675057,1991599014270365829,bot,26,2,11.1,-0.6227
1991696495846776992,1991273429446603153,bot,33,1,14.6,0.4215
1991696736360730635,1991547994886307979,bot,41,1,9.7,-0.5994
1991697349987471434,1991478705970114588,bot,40,1,6.1,-0.2153
1991934386128724319,1991831458277990810,bot,26,1,18.2,0.0
1991934616165380101,1991831700767396310,bot,31,1,10.5,-0.7627
1991935559569137889,1989293068722266566,bot,33,2,9.7,-0.5267
1991936737103200426,1991790357370261694,bot,35,1,10.1,-0.296
1991937320358940976,1991700724456255578,bot,24,1,8.8,-0.2263
1992352554148049362,1992035477860589731,bot,38,1,9.5,-0.7949
1992352954532159738,1992300221456642379,bot,40,1,9.7,-0.9109
1992354251754856905,1992252270009057469,bot,31,1,11.7,-0.7717
1992354599781429673,1992266868951069151,bot,38,1,10.3,-0.8442
1992354987783901344,1992107088034795917,bot,32,1,9.5,0.0
1992613616105705607,1992383685040169234,bot,37,2,12.7,0.2023
1992614004443820412,1992225341616853357,bot,26,2,15.2,-0.0299
1992615069784383652,1992015024261599559,bot,26,1,9.5,0.7351
1992615495120404578,1991665361863999667,bot,25,1,10.5,0.0
1992615800671211919,1992435341899518119,bot,28,2,8.8,-0.4019
1992616410187538771,1992291850045001916,bot,36,1,12.5,-0.6124
1992616976896700491,1992474249618219097,bot,34,1,11.1,-0.4767
1992617317159538865,1992397358555091006,bot,37,2,10.3,-0.0516
1992974193302855734,1992380912395579503,bot,31,1,9.3,-0.5994
1992975098781855776,1992651119517192620,bot,32,1,11.7,0.3147
