tweetId,topic,multimodal,op_followers_count
1087062225754312704,Other / Miscellaneous,image,14737
1700341593658491236,Science & Technology,video,1298816
1704779078430044463,Conspiracy & Pseudoscience,video,5880
1786103057832387041,Geopolitics & International Conflicts,video,287779
1813690986939445661,Politics & Elections,text,22294
1821462832027979940,Social/Cultural Issues,image,49799
1837526865331753186,Celebrity / Entertainment / Viral,video,39438
1843697133867900971,Science & Technology,video,168506
1861861427247755727,Sports,image,26840
1861908050572988497,Other / Miscellaneous,image,537317
1873301710187462801,Geopolitics & International Conflicts,text,124054
1911509104259981651,Social/Cultural Issues,video,43286
1918265468076605706,Celebrity / Entertainment / Viral,image,22963375
1934345439085519069,Celebrity / Entertainment / Viral,image,4674
1940230980557840461,Science & Technology,video,2714
1940784544367722678,Geopolitics & International Conflicts,video,276400
1943881235677557086,Celebrity / Entertainment / Viral,image,441
1955227180965019942,Politics & Elections,image,665280
1956032644476510561,Geopolitics & International Conflicts,image,27513
1967265369631985835,Geopolitics & International Conflicts,text,485
1973387435750101211,Social/Cultural Issues,image,1640
1975843808161169652,Other / Miscellaneous,text,334439
1976618794437972378,Other / Miscellaneous,image,382934
1979833944548966904,Other / Miscellaneous,text,13675
1980666946074100069,Health & Medicine,image,889292
1980969975452999839,Health & Medicine,image,138721
1982057252811862313,Other / Miscellaneous,video,27835
1983153940612198705,Social/Cultural Issues,text,6181
1983776379226435796,Social/Cultural Issues,image,40816
1984084756271620390,Geopolitics & International Conflicts,video,3189903
1984225589281333478,Celebrity / Entertainment / Viral,image,76599
1984303790388875644,Social/Cultural Issues,image,34120
1984315669840539781,Social/Cultural Issues,video,138419
1984328287980490905,Economy & Finance,text,382935
1984356702981144719,Politics & Elections,text,2050
1984420036598251910,Politics & Elections,video,1390837
1984432436705436065,Other / Miscellaneous,text,1383
1984473120414244927,Politics & Elections,image,549335
1984480725199204373,Geopolitics & International Conflicts,text,9970265
1984560144965927126,Geopolitics & International Conflicts,text,73353
1984568599760306379,Social/Cultural Issues,video,471022
1984615856027156641,Geopolitics & International Conflicts,image,56705
1984625412358459842,Social/Cultural Issues,image,533786
1984635904833831173,Other / Miscellaneous,image,152988
1984636598051614864,Sports,image,181331
1984660339523535223,Politics & Elections,text,3890
1984660640376529298,Politics & Elections,text,84400
1984665449657712813,Other / Miscellaneous,text,1665366
1984675406134272332,Other / Miscellaneous,text,6777
1984681253640253772,Politics & Elections,image,244740
1984693327111856584,Social/Cultural Issues,video,231705
1984709204469223934,Politics & Elections,image,149728
1984724375233253865,Politics & Elections,text,1929011
1984728535840538992,Other / Miscellaneous,image,1132
1984729789513789923,Social/Cultural Issues,video,265379
1984746300017869076,Social/Cultural Issues,image,177946
1984753911350378960,Other / Miscellaneous,text,84140
1984772942241120665,Geopolitics & International Conflicts,video,141437
1984839179520418214,Science & Technology,image,468915
1984864309474644034,Geopolitics & International Conflicts,video,116552
1984903708686098738,Geopolitics & International Conflicts,image,803903
1984938919088312528,Politics & Elections,image,33812
1984960471615865121,Celebrity / Entertainment / Viral,text,3802
1984996874814722205,Politics & Elections,image,171380
1985037047694766533,Celebrity / Entertainment / Viral,image,274
1985156497815285860,Politics & Elections,image,164748
1985161520162980267,Other / Miscellaneous,image,7741
1985193092954140946,Sports,image,2615
1985197649641771398,Politics & Elections,image,1292956
1985198183329255522,Politics & Elections,video,304848
1985225187374358545,Politics & Elections,text,1082226
1985229936081182818,Geopolitics & International Conflicts,image,1050265
1985260930687766724,Economy & Finance,image,219327
1985267440507630017,Geopolitics & International Conflicts,image,5547773
1985269348307513396,Politics & Elections,video,10456
1985269568634528138,Social/Cultural Issues,video,97973
1985376422903566503,Other / Miscellaneous,video,4349450
1985383070304780320,Other / Miscellaneous,video,557440
1985415071380750404,Politics & Elections,video,335888
1985431300275077539,Science & Technology,image,755
1985433270507749664,Politics & Elections,text,241072194
1985436898802966614,Social/Cultural Issues,image,64416
1985444392967246067,Politics & Elections,image,277964
1985472809565315243,Politics & Elections,image,1292956
1985479819115757645,Other / Miscellaneous,image,252489
1985498979803811887,Social/Cultural Issues,video,6130294
1985518918224806277,Social/Cultural Issues,text,70062
1985563087219356031,Sports,text,44138
1985608572244541677,Health & Medicine,image,198812
1985692613010502114,Politics & Elections,image,241072194
1985712466542641174,Social/Cultural Issues,image,143365
1985744077070184900,Celebrity / Entertainment / Viral,text,9157
1985747628714573939,Politics & Elections,image,155592
