tweetId,topic,multimodal,op_followers_count,op_followers_count_jul2026
1959655760285081935,Health & Medicine,video,246662,256876
1962215119129325850,Science & Technology,image,115806,134703
1974393872567681079,Science & Technology,image,26973,27236
1977821721744040146,Conspiracy & Pseudoscience,video,3452,
1980042655565520906,Politics & Elections,text,406089,411853
1980961929494728712,Health & Medicine,image,603928,
1983378731474301242,Politics & Elections,image,110556,120103
1983458760589996235,Geopolitics & International Conflicts,text,117348,116590
1983601617619579339,Celebrity / Entertainment / Viral,image,,
1983885310200037506,Science & Technology,image,96523,99095
1983918247268270408,Health & Medicine,image,635070,629894
1983955840941113756,Conspiracy & Pseudoscience,video,150339,150312
1984023240524943392,Other / Miscellaneous,image,,
1984036373951545642,Celebrity / Entertainment / Viral,image,8415623,8848348
1984179787552735620,Science & Technology,video,438782,471003
1984183024288969010,Politics & Elections,image,407630,406484
1984237794160672936,AI generated content,video,107699,110262
1984245380738138448,Geopolitics & International Conflicts,image,1884911,2037805
1984281159346622889,Geopolitics & International Conflicts,image,1795610,2090152
1984282377099878636,Geopolitics & International Conflicts,text,257,289
1984335127661387831,Politics & Elections,image,27264,28471
1984345894477762985,Geopolitics & International Conflicts,image,258229,304971
1984370718361207056,Politics & Elections,text,495512,582933
1984371426258993466,Politics & Elections,video,112404,119332
1984373158036832660,Social/Cultural Issues,text,45327,47269
1984373940404318218,Social/Cultural Issues,text,12457,12101
1984391277656621199,Sports,text,73292,73571
1984425136809033894,Politics & Elections,video,,
1984445054010671526,Social/Cultural Issues,video,84307,90337
1984457722763624470,Sports,video,35141,35284
1984457958776787274,Sports,video,21446,22353
1984458032290394195,Geopolitics & International Conflicts,video,54790,63806
1984459581968556108,Social/Cultural Issues,video,,
1984464886236131628,Sports,video,7972,12411
1984466430553964545,Economy & Finance,text,2899174,2914541
1984511682262048855,AI generated content,video,1236185,1261872
1984532450492416482,Celebrity / Entertainment / Viral,video,43712,52340
1984564290662051897,Politics & Elections,image,382713,393086
1984628631126360533,Other / Miscellaneous,image,31631,31392
1984651611499876677,Health & Medicine,image,141216,144244
1984657921699910010,Conspiracy & Pseudoscience,image,763343,846513
1984662561623790028,Social/Cultural Issues,text,19564,
1984670182699053135,Celebrity / Entertainment / Viral,video,22571,27589
1984676390608818260,Politics & Elections,video,2283160,2307350
1984689144631800226,Social/Cultural Issues,text,28010,28255
1984691991855112619,Politics & Elections,text,2383,2654
1984697346329137572,Politics & Elections,image,336073,345959
1984697757467316562,Celebrity / Entertainment / Viral,text,107269,132584
1984699007541920159,Social/Cultural Issues,image,979,1240
1984707306786079171,Sports,image,17155,17545
1984713573864509593,Politics & Elections,text,270765,284075
1984725365290647899,Science & Technology,video,13109,28040
1984741263464137048,Politics & Elections,video,63438,75531
1984745537115930713,Politics & Elections,image,8162,9347
1984746554238881990,Politics & Elections,text,1852374,1851392
1984756548225192416,Social/Cultural Issues,image,91684,
1984758406779969831,Sports,image,4120,4467
1984773615192023523,Social/Cultural Issues,video,213330,247779
1984790395918663818,Sports,video,1176,4216
1984845909361050008,Social/Cultural Issues,image,887061,
1984921631416893891,Politics & Elections,image,31302,33891
1984939666714624178,Social/Cultural Issues,image,105558,153449
1984959886766285177,Politics & Elections,video,207800,267322
1984993104886165905,Geopolitics & International Conflicts,video,57205,
1985036807226937516,Social/Cultural Issues,image,53252,91158
1985045510219334044,Social/Cultural Issues,image,98821,
1985046460958978196,Politics & Elections,image,44294,50354
1985049595425271914,Conspiracy & Pseudoscience,video,170760,189785
1985050563407720666,Politics & Elections,text,57287,57141
1985060387910271023,Sports,video,13004,19414
1985066426026144042,Geopolitics & International Conflicts,image,155997,173203
1985079789057949883,Celebrity / Entertainment / Viral,image,37719,38892
1985083013667901607,Politics & Elections,image,2409112,2420321
1985098119458279672,Politics & Elections,text,524361,584481
1985107120254287874,Politics & Elections,image,346234,378153
1985107824020730333,Social/Cultural Issues,video,609680,702820
1985123505973690849,Politics & Elections,video,636174,772566
1985145058748739687,Politics & Elections,video,4472966,4470396
1985168804352069901,Economy & Finance,video,175717,258326
1985172792036536415,Celebrity / Entertainment / Viral,video,534875,567337
1985197996619743296,Conspiracy & Pseudoscience,video,6062947,6128640
1985203965319913898,Science & Technology,image,1160047,1231544
1985277430500643031,Science & Technology,image,802668,887252
1985281470609436692,Social/Cultural Issues,image,272657,335952
1985335799865573614,Geopolitics & International Conflicts,image,164299,203604
1985340076226924556,Science & Technology,text,,
1985342055598481851,Geopolitics & International Conflicts,text,,
1985364652977447298,Social/Cultural Issues,text,631,587
1985368837748093402,Health & Medicine,text,106679,112281
1985393423856107694,Social/Cultural Issues,video,124946,142922
1985402231483502631,Geopolitics & International Conflicts,video,9409,
1985412117814784418,AI generated content,image,,
1985424236794490946,Politics & Elections,text,139409,140631
1985447742739792289,Conspiracy & Pseudoscience,video,272021,277863
1985491786383454684,Celebrity / Entertainment / Viral,image,26025,30432
1985505916913951107,Social/Cultural Issues,video,7912,12016
1985530254425825752,Social/Cultural Issues,text,15187,
1985544438760759670,Economy & Finance,image,115701,
1985581423152312678,Health & Medicine,image,141220,144244
1985591055773814851,Other / Miscellaneous,image,3625306,4041836
1985620224364986498,Celebrity / Entertainment / Viral,image,1796,1703
1985634757833867603,Science & Technology,video,59766,82896
1985641890725671008,Economy & Finance,image,,
1985657541356110044,Geopolitics & International Conflicts,video,4240,3831
1985679827748143143,Geopolitics & International Conflicts,video,382293,389722
1985709161900868025,Politics & Elections,image,292420,309121
1985710526404661752,Politics & Elections,image,175222,216205
1985715220103213258,Geopolitics & International Conflicts,image,,
1985716345107829064,Politics & Elections,text,,
1985733159179489680,Conspiracy & Pseudoscience,video,98337,100491
1985733488717545540,Politics & Elections,image,109824,138392
1985743927006126277,Politics & Elections,image,82588,
1985746360411607190,Social/Cultural Issues,video,820973,
1985750550156062749,Politics & Elections,image,,
1985755256295452913,Celebrity / Entertainment / Viral,text,296994,298955
1985760796518039853,Politics & Elections,text,4628101,4759980
1985763752567001215,Politics & Elections,image,28529,
1985782640104939992,Politics & Elections,video,914642,1161535
1985783259327054239,Politics & Elections,image,1438200,1501867
1985785031890272439,Economy & Finance,video,1443066,1501867
1985786856798134747,Sports,text,184601,195880
1985799034687099331,Economy & Finance,image,208821,216907
1985815642981712378,Geopolitics & International Conflicts,image,22721,30635
1985831396791726352,Politics & Elections,text,121370,122258
1985833785808863371,Economy & Finance,text,711037,705832
1985846358885191698,AI generated content,video,11752,10958
1985848230714757285,Conspiracy & Pseudoscience,video,145349,
1985850026900218206,Sports,image,1456795,1538517
1985852952859345235,Politics & Elections,text,333756,353303
1985856130808234130,Geopolitics & International Conflicts,image,552673,610899
1985864395021566334,Politics & Elections,text,116423,118473
1985879925144924396,Other / Miscellaneous,image,1175,1314
1985888858773615020,Politics & Elections,text,498229,582933
1985907801961742466,Science & Technology,text,146324,145588
1985909974585766284,Social/Cultural Issues,text,419831,419995
1985951737488777377,Celebrity / Entertainment / Viral,video,256032,266167
1985952963278619062,Economy & Finance,text,366712,370511
1985966429276160154,Politics & Elections,image,152439,157573
1985967414979215402,Geopolitics & International Conflicts,video,,
1986038085302222852,Politics & Elections,text,836885,865675
1986042681701630316,Conspiracy & Pseudoscience,video,1155476,
1986048900680352196,Politics & Elections,text,915510,953105
1986074403268886988,Politics & Elections,image,51204,52118
1986088757305712685,Celebrity / Entertainment / Viral,image,2845,3949
1986119875992142286,Politics & Elections,image,259009,264848
1986132385511989502,Geopolitics & International Conflicts,video,92326,95057
1986150696434258217,Politics & Elections,image,409440,454450
1986168991157489993,Politics & Elections,video,208162,232070
1986219320645448147,Conspiracy & Pseudoscience,text,25581,32095
1986226854093848679,Politics & Elections,image,620877,702458
1986234873011662902,Politics & Elections,image,104668,162818
1986249676455137429,Geopolitics & International Conflicts,image,433951,447058
1986261101411962956,Social/Cultural Issues,image,80852,111067
1986325425338061200,Geopolitics & International Conflicts,video,179352,204764
1986355135887667677,Social/Cultural Issues,image,887061,906490
1986362046469099945,Science & Technology,image,34757,40789
1986397520902430817,Politics & Elections,image,,
1986403982613590206,Economy & Finance,image,353193,367132
1986408017957409109,Politics & Elections,image,182768,193177
1986426028990877701,Celebrity / Entertainment / Viral,image,821712,827272
1986443206322774411,Social/Cultural Issues,video,1299415,1391554
1986453225810301057,Politics & Elections,text,1045144,1062956
1986470743740194903,Celebrity / Entertainment / Viral,video,168564,213146
1986475655262052378,Geopolitics & International Conflicts,video,16585,
1986476714466111837,Politics & Elections,text,1490497,2143510
1986492803481018803,Politics & Elections,text,34917,37721
1986501361899323818,Geopolitics & International Conflicts,image,,
1986507411314659346,Social/Cultural Issues,image,36265,43575
1986508952662909168,Politics & Elections,video,711873,766848
1986509343328772348,Politics & Elections,video,1490571,2143510
1986520069204287914,Politics & Elections,video,209838,232070
1986525526568120783,Politics & Elections,image,166208,201999
1986528002914545971,Politics & Elections,text,231780,259652
1986538101431243213,Politics & Elections,video,100462,102383
1986570981578842509,Politics & Elections,text,36,38
1986602162559066452,Politics & Elections,video,710323,766848
1986665360171446321,Science & Technology,image,51116,55707
1986671981958418751,Politics & Elections,text,939314,944261
1986684861705322569,Other / Miscellaneous,video,62572,64514
1986691360556994938,Politics & Elections,text,19338,20397
1986709745961484462,Science & Technology,video,839232,841100
1986732362944676205,Social/Cultural Issues,image,272672,335952
1986775642449547576,Geopolitics & International Conflicts,video,1700680,1715308
1986777625629442137,Politics & Elections,text,29563,35446
1986801598946058577,Politics & Elections,video,31984,32124
1986817447396020437,Politics & Elections,text,994258,1011763
1986818424861855903,Science & Technology,video,820777,
1986827848330743964,Politics & Elections,image,3735560,5080994
1986887091473514780,Politics & Elections,image,35179,
1986893570004127836,Politics & Elections,image,151154,164123
1986893766775771632,Geopolitics & International Conflicts,video,595,625
1986896462907658347,Science & Technology,text,15255,17137
1986899114072711339,Social/Cultural Issues,video,98878,114425
1986905944555475164,Economy & Finance,text,58229,73329
1986916217798435148,Other / Miscellaneous,video,,
1986940422246056300,Celebrity / Entertainment / Viral,image,9383,
1986951005364506817,Economy & Finance,text,576121,583532
1986978781605601414,Politics & Elections,image,352647,351960
1986994343526170888,Politics & Elections,text,376572,399384
1986994724398637138,Geopolitics & International Conflicts,image,82514,126103
1986998192739946660,Geopolitics & International Conflicts,video,75699,
1987006290837839979,Celebrity / Entertainment / Viral,image,51049,48643
1987010603714597082,Politics & Elections,video,15932,16921
1987015962164396128,Social/Cultural Issues,video,169746,231833
1987021510452928880,Politics & Elections,video,1303930,1391554
1987039463025918004,Health & Medicine,text,24375,
1987043717077999927,Science & Technology,video,25610,27598
1987045794675892732,Politics & Elections,image,637554,638370
1987050524206837810,Other / Miscellaneous,image,150552,
1987079428976087494,Social/Cultural Issues,image,,
1987119426634694706,Politics & Elections,video,1103946,
1987120414565269913,Conspiracy & Pseudoscience,image,1401449,1479164
1987124793003434394,Social/Cultural Issues,video,36731,46504
1987131836636795297,Social/Cultural Issues,video,406590,421332
1987139033777250391,Politics & Elections,image,346541,378153
1987164565398749587,Science & Technology,image,90873,102849
1987168864958927261,Conspiracy & Pseudoscience,video,1725972,1736092
1987174337011650727,Geopolitics & International Conflicts,video,322475,339795
1987183437233758369,Social/Cultural Issues,image,425017,481570
1987187995779182760,Politics & Elections,video,121702,128648
1987201521449075132,Politics & Elections,image,324618,353783
1987203682505498848,Politics & Elections,video,7862,8161
1987204463170290103,Politics & Elections,text,77348,83410
1987212260993806801,Geopolitics & International Conflicts,image,51107,52118
1987219102205923826,Politics & Elections,video,423283,432000
1987233663281697247,Politics & Elections,image,1351708,1364891
1987238217096052827,Celebrity / Entertainment / Viral,video,252395,355094
1987262233458712848,Social/Cultural Issues,video,139759,
1987271129749463142,Geopolitics & International Conflicts,text,1700663,1722482
1987276862234456334,Conspiracy & Pseudoscience,text,67409,87637
1987282366155649445,Geopolitics & International Conflicts,video,90141,157372
1987299211365486614,Economy & Finance,text,9049,9626
1987303557071045019,Politics & Elections,video,172952,231833
1987330859809350052,Science & Technology,video,2111,2232
1987369026180263999,Politics & Elections,image,40220,56149
1987449045544309180,Politics & Elections,video,45103,
1987465515401637949,Social/Cultural Issues,video,75672,
1987478789966672304,Geopolitics & International Conflicts,image,31407,51288
1987504087340847601,Politics & Elections,video,90232,105559
1987521338525843631,Celebrity / Entertainment / Viral,image,5251,
1987536370118627796,Social/Cultural Issues,image,82186,83386
1987539904608579859,Politics & Elections,image,2716486,2974255
1987540970271809722,Social/Cultural Issues,text,56695,58202
1987545242065842368,Politics & Elections,image,,
1987557841830662654,Social/Cultural Issues,video,1155451,1175521
1987568818772717709,Politics & Elections,image,42727,45594
1987569453299912882,Politics & Elections,image,102876,110306
1987569879310803363,Conspiracy & Pseudoscience,image,315978,363699
1987573136255254576,Sports,text,218864,218029
1987576250790027467,Sports,image,25945,35254
1987589626408677809,Sports,image,25624,26251
1987590472622350664,Sports,image,12986,13268
1987599272531947661,Politics & Elections,image,43566,51268
1987620280420712576,Social/Cultural Issues,video,1155597,1175521
1987627574558622116,Sports,text,30096,30685
1987632414739358135,Politics & Elections,image,13728,
1987644379696435579,Politics & Elections,image,394754,
1987647306120966203,Politics & Elections,image,141139,153519
1987647365059117379,Social/Cultural Issues,video,820775,
1987660792326746499,Celebrity / Entertainment / Viral,image,198,245
1987675879049486560,Social/Cultural Issues,video,53271,
1987684499652854016,Social/Cultural Issues,image,4623727,4759980
1987717128934625644,Politics & Elections,image,4590,5675
1987737789270798498,Celebrity / Entertainment / Viral,video,8205,10064
1987777364202586141,Sports,image,15137,16124
1987858378069098622,Politics & Elections,text,,
1987859676734874074,Politics & Elections,image,3041,3538
1987864741491138649,Social/Cultural Issues,video,,
1987881598050566394,Politics & Elections,image,18293,
1987910161672114332,Politics & Elections,video,243957,334116
1987910682315042955,Conspiracy & Pseudoscience,video,45856,46097
1987925846506545580,Economy & Finance,image,10781,11038
1987928829357347143,Geopolitics & International Conflicts,text,,
1987932761030631837,Geopolitics & International Conflicts,image,20559,22958
1987943138497843571,Health & Medicine,text,,
1987945233553002778,Other / Miscellaneous,image,101206,99772
1988001797961904269,Politics & Elections,text,2208,2260
1988041452493172783,Celebrity / Entertainment / Viral,image,772612,804809
1988065200050671967,Politics & Elections,image,47583,58423
1988069071607525569,Social/Cultural Issues,text,2057808,2141610
1988069607052050646,Politics & Elections,video,254551,255936
1988080312308691035,Politics & Elections,image,28283,
1988087290233844059,Sports,video,,
1988185236421636251,Politics & Elections,video,285916,292296
1988214896039801345,Politics & Elections,image,59410,59838
1988223180956193063,Science & Technology,image,457154,482484
1988226126083133807,Other / Miscellaneous,video,6403193,6323857
1988233067501175234,Politics & Elections,text,156577,163983
1988239256003772670,Celebrity / Entertainment / Viral,video,3746723,5981172
1988239357992726978,Celebrity / Entertainment / Viral,video,1253799,1251919
1988251246977843283,Politics & Elections,image,1254228,1268108
1988253213414330708,Politics & Elections,text,95331,117541
1988264209902104794,Politics & Elections,text,47684,47628
1988272634723754106,Geopolitics & International Conflicts,video,980004,997680
1988281816642712028,Politics & Elections,image,121119,123099
1988309150275956974,Conspiracy & Pseudoscience,video,1149185,1175521
1988312595871527306,Social/Cultural Issues,video,321600,406731
1988320617352098207,Politics & Elections,image,14076,14099
1988332213717319864,Sports,image,45449,46156
1988342657840549949,Social/Cultural Issues,video,145793,141378
1988343017326223647,Politics & Elections,image,557289,
1988343457052848205,Celebrity / Entertainment / Viral,text,34865,36856
1988346364644757766,Politics & Elections,text,7612,
1988352075206398319,Politics & Elections,image,2454095,2498724
1988373799159656635,Politics & Elections,text,,
1988401381838123289,Social/Cultural Issues,video,123825,137659
1988420315656131070,Politics & Elections,image,,
1988436497088012476,Economy & Finance,video,693811,702031
1988446387466334516,Celebrity / Entertainment / Viral,image,11473,12835
1988452838834385214,Politics & Elections,text,373353,376942
1988475040921276749,Politics & Elections,video,285369,302707
1988483394825842983,Other / Miscellaneous,image,,
1988499142851674424,Celebrity / Entertainment / Viral,video,4125,8593
1988514720005972197,Economy & Finance,image,12664,12252
1988529003506847825,Conspiracy & Pseudoscience,video,1155475,1175521
1988557644521710026,Social/Cultural Issues,video,43138,65112
1988557704269643866,Geopolitics & International Conflicts,image,212525,244897
1988613820529746176,Sports,image,469686,488685
1988617007093158120,Economy & Finance,video,,
1988629476754801121,Social/Cultural Issues,video,131597,145584
1988639107761717663,Celebrity / Entertainment / Viral,image,,
1988639131258233307,Other / Miscellaneous,image,170017,171624
1988667993975644618,Politics & Elections,video,211332,210523
1988676183895245181,Politics & Elections,image,21037,24966
1988676948693020814,Economy & Finance,text,209838,232070
1988690820002898166,Politics & Elections,image,564728,634941
1988705021580702088,Economy & Finance,image,3735564,5080996
1988719123606417722,Celebrity / Entertainment / Viral,text,3277103,3419186
